	0	5	10	15	20	25	30
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	0.00	0.13	0.71	2.32	5.49	10.10	20.00
20	0.00	0.25	1.21	4.76	11.26	20.00	20.00
30	0.00	0.36	1.55	7.28	20.00	20.00	20.00
40	0.00	0.45	1.82	9.80	20.00	20.00	20.00
50	0.00	0.51	1.92	11.43	20.00	20.00	20.00
60	0.00	0.55	1.75	10.46	20.00	20.00	20.00
70	0.00	0.55	1.66	7.73	20.00	20.00	20.00
80	0.00	0.54	1.55	3.22	20.00	20.00	20.00
90	0.00	0.50	1.47	2.85	20.00	20.00	20.00
100	0.00	0.45	1.36	2.56	20.00	20.00	20.00
110	0.00	0.38	1.23	2.27	20.00	20.00	20.00
120	0.00	0.31	1.08	2.00	20.00	20.00	20.00
130	0.00	0.23	0.90	1.71	2.84	20.00	20.00
140	0.00	0.16	0.71	1.40	1.98	20.00	20.00
150	0.00	0.10	0.51	1.07	1.53	2.64	20.00
160	0.00	0.05	0.32	0.72	1.10	1.37	1.52
170	0.00	0.02	0.16	0.37	0.61	0.80	0.97
180	0.00	0.00	0.00	0.00	0.00	0.00	0.00
