	0	5	10	15	20	25	30
0	3.78	3.60	2.58	1.54	1.18	1.12	1.13
10	3.78	3.60	2.58	1.53	1.17	1.08	1.00
20	3.78	3.60	2.59	1.53	1.26	1.00	1.00
30	3.78	3.61	2.60	1.52	1.00	1.00	1.00
40	3.78	3.61	2.60	1.49	1.00	1.00	1.00
50	3.78	3.62	2.72	1.56	1.00	1.00	1.00
60	3.78	3.64	2.98	1.80	1.00	1.00	1.00
70	3.78	3.67	3.25	2.23	1.00	1.00	1.00
80	3.78	3.69	3.49	2.99	1.00	1.00	1.00
90	3.78	3.72	3.59	3.26	1.00	1.00	1.00
100	3.78	3.75	3.67	3.42	1.00	1.00	1.00
110	3.78	3.77	3.73	3.56	1.00	1.00	1.00
120	3.78	3.79	3.77	3.66	1.00	1.00	1.00
130	3.78	3.80	3.80	3.77	3.59	1.00	1.00
140	3.78	3.81	3.83	3.91	3.98	1.00	1.00
150	3.78	3.82	3.88	4.06	4.30	3.38	1.00
160	3.78	3.82	3.92	4.15	4.47	4.84	5.43
170	3.78	3.82	3.93	4.15	4.47	4.86	5.29
180	3.78	3.82	3.92	4.14	4.45	4.83	5.26
